,occupation,competency,category,description
0,Computer and Information Research Scientists,Source code management SCM software,Technology Skills,Development environment software
1,Computer and Information Research Scientists,Microsoft Azure,Technology Skills,Development environment software
2,Computer and Information Research Scientists,Visualization,Abilities,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
3,Computer and Information Research Scientists,Free-field speakers,Tools Used,Loudspeakers
4,Computer and Information Research Scientists,Data visualization software,Technology Skills,Analytical or scientific software
5,Computer and Information Research Scientists,Judgment and Decision Making,Skills,Considering the relative costs and benefits of potential actions to choose the most appropriate one.
6,Computer and Information Research Scientists,Linux,Technology Skills,Operating system software
7,Computer and Information Research Scientists,IBM Rational Apex,Technology Skills,Configuration management software
8,Computer and Information Research Scientists,Minitab,Technology Skills,Analytical or scientific software
9,Computer and Information Research Scientists,Evaluate project plans and proposals to assess feasibility issues.,Task Statements,Core
10,Computer and Information Research Scientists,Processing Information,Work Activities,"Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data."
11,Computer and Information Research Scientists,Time Management,Skills,Managing one's own time and the time of others.
12,Computer and Information Research Scientists,Reading Comprehension,Skills,Understanding written sentences and paragraphs in work related documents.
13,Computer and Information Research Scientists,Integrity,Work Styles,Job requires being honest and ethical.
14,Computer and Information Research Scientists,PHP: Hypertext Preprocessor,Technology Skills,Web platform development software
15,Computer and Information Research Scientists,"Estimating the Quantifiable Characteristics of Products, Events, or Information",Work Activities,"Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity."
16,Computer and Information Research Scientists,Polaris parallelizing compilers,Technology Skills,Compiler and decompiler software
17,Computer and Information Research Scientists,Network storage arrays,Tools Used,Hard disk arrays
18,Computer and Information Research Scientists,Mathematical Reasoning,Abilities,The ability to choose the right mathematical methods or formulas to solve a problem.
19,Computer and Information Research Scientists,Polhemus Fasttrack System,Technology Skills,Analytical or scientific software
20,Computer and Information Research Scientists,Computer scanners,Tools Used,Scanners
21,Computer and Information Research Scientists,Integrated development environment IDE software,Technology Skills,Development environment software
22,Computer and Information Research Scientists,Adaptability/Flexibility,Work Styles,Job requires being open to change (positive or negative) and to considerable variety in the workplace.
23,Computer and Information Research Scientists,Analytical Thinking,Work Styles,Job requires analyzing information and using logic to address work-related issues and problems.
24,Computer and Information Research Scientists,Hard disk drives,Tools Used,Hard disk drives
25,Computer and Information Research Scientists,Administration and Management,Knowledge,"Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources."
26,Computer and Information Research Scientists,Documenting/Recording Information,Work Activities,"Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form."
27,Computer and Information Research Scientists,Speech Recognition,Abilities,The ability to identify and understand the speech of another person.
28,Computer and Information Research Scientists,IBM Cognos Impromptu,Technology Skills,Business intelligence and data analysis software
29,Computer and Information Research Scientists,Microsoft ActiveX,Technology Skills,Object or component oriented development software
30,Computer and Information Research Scientists,Sun Microsystems Solaris,Technology Skills,Operating system software
31,Computer and Information Research Scientists,Coordination,Skills,Adjusting actions in relation to others' actions.
32,Computer and Information Research Scientists,Social Orientation,Work Styles,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
33,Computer and Information Research Scientists,Intel Math Kernel Library,Technology Skills,Analytical or scientific software
34,Computer and Information Research Scientists,Mathematical software,Technology Skills,Analytical or scientific software
35,Computer and Information Research Scientists,Systems Analysis,Skills,"Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes."
36,Computer and Information Research Scientists,R,Technology Skills,Object or component oriented development software
37,Computer and Information Research Scientists,Relational database management system software,Technology Skills,Data base management system software
38,Computer and Information Research Scientists,"Identifying Objects, Actions, and Events",Work Activities,"Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events."
39,Computer and Information Research Scientists,Three-dimensional 3D graphics software,Technology Skills,Graphics or photo imaging software
40,Computer and Information Research Scientists,StataCorp Stata,Technology Skills,Analytical or scientific software
41,Computer and Information Research Scientists,ESRI ArcGIS software,Technology Skills,Map creation software
42,Computer and Information Research Scientists,Training and Teaching Others,Work Activities,"Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others."
43,Computer and Information Research Scientists,IBM InfoSphere DataStage,Technology Skills,Enterprise application integration software
44,Computer and Information Research Scientists,Relationships,Work Values,"Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service."
45,Computer and Information Research Scientists,Independence,Work Values,"Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy."
46,Computer and Information Research Scientists,Stereographic projectors,Tools Used,Multimedia projectors
47,Computer and Information Research Scientists,The MathWorks MATLAB,Technology Skills,Analytical or scientific software
48,Computer and Information Research Scientists,Mathematics,Knowledge,"Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications."
49,Computer and Information Research Scientists,Apache Kafka,Technology Skills,Development environment software
50,Computer and Information Research Scientists,Web servers,Tools Used,Computer servers
51,Computer and Information Research Scientists,Microsoft Visual Basic,Technology Skills,Development environment software
52,Computer and Information Research Scientists,Object oriented development environment software,Technology Skills,Object or component oriented development software
53,Computer and Information Research Scientists,MicroStrategy,Technology Skills,Business intelligence and data analysis software
54,Computer and Information Research Scientists,Operations Analysis,Skills,Analyzing needs and product requirements to create a design.
55,Computer and Information Research Scientists,"Monitor Processes, Materials, or Surroundings",Work Activities,"Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems."
56,Computer and Information Research Scientists,Perceptual Speed,Abilities,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."
57,Computer and Information Research Scientists,Interacting With Computers,Work Activities,"Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information."
58,Computer and Information Research Scientists,Laser scanners,Tools Used,Scanners
59,Computer and Information Research Scientists,Shell script,Technology Skills,Operating system software
60,Computer and Information Research Scientists,Plug-in file software,Technology Skills,Web page creation and editing software
61,Computer and Information Research Scientists,Graphics pipelines,Technology Skills,Graphics or photo imaging software
62,Computer and Information Research Scientists,Massively parallel processors MPP,Tools Used,High end computer servers
63,Computer and Information Research Scientists,Provide Consultation and Advice to Others,Work Activities,"Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics."
64,Computer and Information Research Scientists,Video projectors,Tools Used,Multimedia projectors
