,id,title,description,search_kw,occupation
0,14,Data Scientist,"Did you know that Jungle Scout collects and processes over 20TB of data every day?
 Are you interested in leveraging this data to create new customer-facing data products?
 Are you ready to help put these products in front of customers in weeks, not months?
 Does that get you absolutely pumped?
 Amazing, then you're the type of person we're looking for!
 At Jungle Scout, we are on a mission to empower entrepreneurs to be successful Amazon sellers. We work hard, keep it real and do it all for our customers by providing industry-leading products, education, and content.
 Where would this person be located? Great question! We have offices in Austin, TX, Vancouver, BC and Shenzhen, China now (yay!). So if you are located in Vancouver or Austin - we would love to have you join our office! Jungle Scout started remotely and we try to hire remotely when we can. We are open to hiring the right candidate remote in British Columbia, Canada or Texas as well.
 Interested in helping us innovate and build industry-leading data-driven products for our customers? Let's get into the details:
 What you'll do:
 Work with stakeholders throughout the company to source opportunities for creating data-driven products
 Regularly present and communicate insights to stakeholders
 Extract mission-critical insights from datasets
 Create scalable models that drive business decisions and enable our customers' success
 Develop tools to monitor models for evolving performance and accuracy
 If your answer is ""heck yeah!"", please read on….
 Who you are:
 Masters (Ph.D preferred) or an extensive background in analytical work
 2+ years of experience working in a data science role outside of academia
 Familiarity with writing high-quality Python code
 Exposure to machine learning tools and frameworks such as, but not limited to Pandas, scikit-learn, NumPy and SciPy
 Experience solving nebulous problems using a systematic, analytical approach
 Strong command of SQL and working with multiple relational databases and data warehouses (Redshift, Snowflake, Postgres, MySQL, etc…)
 Ability to be scrappy with extracting useful insights with partial data
 Ability to apply modeling techniques and machine learning methods (Bayesian statistics, OLS regression, GLMs, logistic regression, network analysis, clustering, decision trees/random forest, dimensionality reduction, neural networks, etc...)
 Able to communicate insights through visualizations using libraries such as matplotlib, seaborn, plotly, etc…
 Approach problems with a customer-centric lens
 Bonus points:
 Some experience with analyzing time-series data
 Familiarity with analyzing big datasets using tools such as Apache Spark
 Some experience with R and related machine learning libraries
 Additional experience with deep learning frameworks such as TensorFlow and PyTorch
 Experience with accessing data from other datastores in the AWS ecosystem such as ElasticSearch, S3, and DynamoDB
 Exposure to working with software development teams and using tools such as Git, GitHub, and Zenhub
 Who we are:
 Jungle Scout is the leading all-in-one tool for selling on Amazon, with the mission of providing powerful data and insights to help entrepreneurs and brands grow successful Amazon businesses.
 The Jungle Scout team is a group of smart, motivated, and fun-loving professionals working hard to help our customers achieve success. We have 125+ team members around the world, including in our headquarters in Austin, TX, and offices in Vancouver, BC and Shenzhen, China
 We offer competitive compensation packages, 401K/RRSP matching, generous vacation, coworking benefits, and professional development to help you thrive in your career. The entire Jungle Scout team also gathers for annual all-expenses-paid retreats — past locations have included Bali, Bangkok, Vietnam, Budapest, Mexico, Colombia, and Costa Rica. Check us out!
 J74AVBIUzp",data scientist,Computer and Information Research Scientists
1,536,"Senior Analytics Advisor, Data & Insights","The Condominium Authority of Ontario (CAO) was launched on September 1, 2017 and remains focused on empowering Ontario’s growing condominium communities. This includes condo owners, directors, residents, buyers, managers, industry professionals and the public.
 We are a non-crown, not for profit corporation that operates under the Condominium Act, 1998 (the Act) and an administrative agreement with the Minister of Government and Consumer Services (MGCS). We are not funded by tax dollars, but by fees paid by all condo corporations and Condominium Authority Tribunal (CAT) users.
 We support consumer protection, and we strive to enhance our value to condo communities through our suite of digital resources and services. This includes:
 Easy-to-use resources in English and French to help condo communities understand their rights and responsibilities under the Act
 Free online tools, including Guided Steps to Common Issues, to help resolve issues collaboratively before they escalate into disputes
 Clear and cost-effective online dispute resolution through the Condominium Authority Tribunal (CAT) – Canada’s first fully online tribunal
 Free and mandatory training for condo directors to help them understand their role and legal obligations
 Digital condo returns and notices of change where corporations can file and update information
 A searchable Public Registry, containing information from every condo corporation in Ontario
 An integrated Information Services team that responds to all telephone and email inquiries to help members better understand the legal and governance framework behind condo communities
 
 PURPOSE OF POSITION:
 Working in the Strategic BI and Data Analytics department and reporting to the Director, the role will support building a data and insight-driven organization. The role will apply knowledge and experience of analytics and data modelling to solve challenging business problems through innovative solutions. This position will work in collaboration with other areas across the organization including technology, information services, finance and communications, the Condominium Authority Tribunal (CAT) team, and the CEO’s office.
 If you have demonstrated experience with data management, analytics, data visualization and are constantly seeking better ways to do things, learning new tools and have a passion for leveraging the value of data, this exciting opportunity could be for you!!
 The position will be for a one (1) year term.
 
 KEY RESPONSIBILITIES:
 Extract, explore, and manipulate data from various sources and formats to appropriately prepare data and data models for developing actionable insights and any other form of data-driven intelligence and analytics
 Develop data governance rules, establish and automate data monitoring and provide feedback to business/technology areas for continuous improvement of data quality
 Identify and acquire new data sources, perform data discovery to understand data values and relationships and develop solutions to deliver business value
 Generate BI content in the form of visualizations, dashboards, reports and analytic models to optimize decision-making across the organization
 Respond to ad hoc data requests, reports and insights using analysis and self serve dashboards to respond to requests from CAO departments, senior executives, stakeholders and board members
 Interpret and analyse data from multiple sources, synthesize, identify issues and trends and recommend actions
 Apply business-relevant analysis, statistical and machine learning approaches to solve challenges and make recommendations using predictive analysis
 Support development of performance metrics by analyzing data sources and trends to recommend baselines and targets
 Monitor and report on performance metrics, trend values and outcomes and recommend improved data collection strategies including survey development and exploration of new data sources
 
 Qualifications, Skills and Knowledge
 Bachelor’s degree in Computer Science, Mathematics, Statistics or a quantitative discipline in science, business, or social science
 A minimum of 3-5 years of demonstrated experience with BI, data manipulation and data science tools and their application (Tableau, Informatica, Power BI, SQL, Python, VBA, Crystal Reports, R, API programming/connectivity, Databricks, etc.)
 Experience developing business insights from social, client and time series data using advanced machine learning techniques
 Experience analyzing structured and unstructured datasets to develop insights from large volumes of data
 Ability to handle conflicting work demands from multiple projects and deliverables
 Strong problem-solving skills and ability to break down complex problems and articulate creative solutions
 Critical thinking skills to understand business and convert to conceptual data models and inform analysis
 Ability to distill most impactful business relevant results, summarize the data analysis, and convey the business insights and implications of the results
 
 Technology Skills:
 Expertise in developing dashboards, visualizations and analysis using tools like Informatica, Power BI, Tableau, SPSS etc.
 Expertise in coding with at least one scripting language, e.g. python and a statistical/ analytics software tool such as R
 Expertise in data manipulation and integrity checking for a variety of data types to transform data for reporting and analytics
 Experience with data modelling and logic of how data models are built
 Experience with data architecture, data integration/ extraction, transformation and loading (ETL), data warehousing, and/or BI deployment on Azure cloud
 Experience with use of machine learning tools for analysis and automation
 Understanding of building statistical and algorithmic models with complex and large datasets, including but not limited to supervised statistical learning, clustering, natural language processing and times-series analysis
 Understanding of big data technologies, primarily in machine learning and statistics function
 
 DISCLAIMER:
 We thank everyone for their interest in joining our dynamic team. Only those qualified and selected for an interview will be contacted.
 CAO is an equal opportunity employer, encouraging workplace diversity. All qualified individuals will be considered without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, marital status or any other characteristic protected by law.
 CAO welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.
 
 Closing Date: 16 March 2020",data scientist,Computer Systems Analysts
2,56,Jr. Data Science Developer,"The Opportunity
 Are you familiar with Python? Do you consider yourself a data junkie with a passion for technology? Are you a team player willing to go the extra mile?
 If your answer to these questions is “yes”, then we want to hear from you! Every day, SkyHive's start-up environment will present new challenges, opportunities to grow, and a place to build something truly unique.
 We are looking for someone who is ambitious, eager to learn and can dive into high volumes of data. The ideal candidate will have a basic understanding in the foundation of data science or computer science and will be willing to take initiative and work hard to help support our core technology.
 The Role
 Help build machine learning models to improve content understanding, content ranking & recommendations.
 Analyze data sources and perform data collection/annotation.
 Improve the effectiveness of existing Natural Language Processing (NLP) pipelines.
 Collaborating with project management and establishing estimates for dev work
 Who are you?
 Qualifications (Must haves)
 Minimum 2 years of experience in Python
 Minimum 2 years of experience working with some machine learning tools such as: Tensorflow, PyTorch, Keras.
 Have good developer skills supported by real-life experience
 Self-starter instincts
 Nice-to-haves
 Familiar with Natural Language Processing
 Exposure and experience working with major clouds: AWS, GCS, Azure
 MongoDB or other NoSQL
 Be a Kaggler
 Who are we?
 Recognized as a top start-up by Forbes, Startup Grind, and C100, SkyHive is an award-winning AI technology that deepens our understanding of labour markets, workforces and individuals, enabling new ways of acquiring, developing and engaging talent.
 Established in 2017 with the mission of tackling global poverty and social inequality, SkyHive aims to utilize its exponential technology to stimulate economic empowerment and lifelong learning; ultimately fostering a stronger, more prepared, and more confident workforce to welcome a brighter tomorrow.
 What do we offer?
 Opportunity to get your foot in the door of a fast-growing tech company
 Collaborative team environment and culture
 Comprehensive health benefits package & MSP coverage
 Three weeks’ paid vacation to start, paid holidays and birthday leave!
 Stock options & gainsharing plan
 Certified B-Corporation
 Paid & unpaid volunteer time off
 Charitable donation matching program to support your favorite charity.
 Opportunity to explore other departments as training and career continues.
 Professional development assistance program that covers professional continuing education
 Beautiful pet friendly office in A1 location with stunning views, beer and cider on tap and an in-house gym
 Numerous employee appreciation events throughout the year
 Benefits:
 Extended health care
 Vision care
 Vacation & paid time off
 Life insurance
 Flexible working hours
 Work from home opportunities
 Employee stock purchase plan
 Dental care
 Casual dress
 Disability insurance
 Bonus scheme
 On-site parking
 Education reimbursement
 Job Types: Full-time, Permanent
 Experience:
 python: 2 years (Required)
 Location:
 Vancouver, BC (Required)",data scientist,Computer and Information Research Scientists
3,1449,Associate Data Scientist,"We are looking for a Data Scientist to support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations.
 They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams to improve business outcomes.
 Job Responsibilities:
 · Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 · Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
 · Assess the effectiveness and accuracy of new data sources and data gathering techniques.
 · Develop custom data models and algorithms to apply to data sets.
 · Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
 · Coordinate with different functional teams to implement models and monitor outcomes.
 · Develop processes and tools to monitor and analyze model performance and data accuracy.
 Job Duties:
 · Strong problem-solving skills with an emphasis on product development.
 · Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
 · Experience working with and creating data architectures.
 · Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
 · Excellent written and verbal communication skills for coordinating across teams.
 · A drive to learn and master new technologies and techniques.
 Skills and Qualifications:
 · 3-5 years of experience manipulating data sets and building statistical models, has a Degree in Statistics, Computer Science or another quantitative field, and is familiar with the following software/tools:
 · Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
 · Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, Text mining, Social network analysis, etc.
 · Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
 · Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
 · Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
 · Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.
 Payscale: Applicants will be considered on a case-by-case basis and remuneration would be decided on basis of performance during Job Interview, Relevant Work Experience and Qualification.
 Job Types: Part-time, Contract
 Salary: $30.00 to $70.00 /hour
 Education:
 Bachelor's Degree (Preferred)
 Location:
 Vancouver, BC (Preferred)
 Language:
 English (Preferred)",data scientist,Computer and Information Research Scientists
4,393,Data Scientist,"Ceridian. Makes Work Life Better™
 This is our promise. Not only for our customers, but our employees as well.
 Do you thrive in an innovative and exciting environment that’s continuously evolving? Ceridian is looking for fun, intelligent, team oriented people who believe in our values: Customer Focus, Transparency, Diligence, Optimism, and Agility. Our workplace culture provides empowering programs for career growth and offers diversity and inclusion groups to support every person’s career journey. Ceridian employees have declared Ceridian a Great Place to Work® in 2019, a Glassdoor Best Places to Work in 2019, and one of Canada’s Top 100 Employers for the 16th consecutive year!
 Find out why Ceridian is such a great place to work.
 
 Reporting to the VP of Business Data and Systems, the ideal candidate will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via theoretical approaches. You will apply data mining techniques, carry out statistical analysis and develop prediction systems to extract business insights and analyze trends to assist our customers. To fit into our culture you must be team-oriented, fun, friendly, honest, and respect others and their ideas.
 
 Key Accountabilities:
 Partner with internal stakeholders from multiple departments to identify opportunity for applying data science to solve complex business challenges such as maximize yield, process robustness, predictable supply, proactive identification of potential issues.
 Extract, transform and analyze data from multiple data sources ensuring data quality and integrity is maintained from source to the final output. Develop and implement algorithms using advanced statistical and mathematical methods.
 Recommend and lead implementation of Process Analytical Technologies to enable data capture for use in quantitative analysis and improved level of process understanding.
 Provide clear and concise oral and written communication.
 Promote a strong quality mindset with a strong focus on data integrity, validation and data governance.
 Education and Experience:
 MS or PhD in Computer Science, Statistics, Applied Mathematics, Operations Research, Computational Biology or a similar technical field
 Minimum 3 years industry experience
 Strong experience in delivering insights through statistical data analysis, data modeling and data visualization
 Experience using tools such as R, SAS, SAS JMP, Python, Matlab, Statistica
 Experience with developing business requirements, use cases and user stories in a data analytics context
 Experience with data warehousing and business intelligence tools and platforms
 Exposure to best practices in data management and data governance practices
 Ability to deliver projects with complex requirements and a strong customer focus
 Ability to influence and communicate with a diverse group of stakeholders from multiple levels of management
 Ability to succeed in a team-oriented environment under very dynamic conditions
 Project Management and People Management experience
 Experience with Big Data ecosystem
 Ceridian combines the excitement of a startup environment, with the growth opportunities of a large organization. We believe our employees should be happy and healthy, with peace of mind and a sense of fulfillment. We provide our employees with comprehensive benefits for various life circumstances and needs, great opportunities for career development, and a balanced lifestyle to achieve personal and professional success.
 
 Ceridian is fueled by the diversity of our talented employees. We are an equal opportunity employer and embrace all individuals and that makes them unique. We consider all applicants, regardless of age, religion, race, color, ancestry, gender, gender identity, disability, national origin, race, sexual orientation, military or veteran status, or any other characteristic protected by federal, state, or local laws. We enthusiastically encourage all individuals to apply for positions that fit their passions. Come join our inclusive team and start collaborating with us on award winning projects!
 We thank all applicants in advance for their interest in this position, however, only those selected for an interview will be contacted.",data scientist,Geospatial Information Scientists and Technologists
5,103,Business Intelligence Analyst,"Brand: Glentel Corporate
 Location: Burnaby Office - 8501 Commerce Court, Burnaby, BC
 Are you looking for a fast-paced and rewarding career to elevate your business intelligence skills?
 Join GLENTEL an exclusive national wireless retailer with 350+ locations across Canada. Best known for brands WIRELESSWAVE, Tbooth wireless and Costco's WIRELESS etc.! We are owned by Bell and Rogers and deliver unparalleled performance in the retail industry.
 The role:
 Business Intelligence, (BI), Analyst plays a critical role in providing retail transactional analysis on sales, inventory management and efficiency metrics. The BI Analyst works closely with the Operations team to synthesize large volumes of data using a variety of programming tools.
 Responsibilities:
 Maintain and manage data table and data dictionary for the Point of Sale, (POS), transaction system
 Assist with updating and distribution of daily POS transaction reports and enhance visualization of the reports
 Use historical and market trends to determine business information needs for product level predictive data analytics
 Perform exploratory data analysis and data modelling to identify patterns and trends in complex data sets and simulate changes in performance metrics to assess ROIs for projects and financial impacts
 Work closely with IT and POS team as the subject matter expert for system testing for system upgrades and feature enhancements
 Identify dashboard/efficiency metrics/KPI/automation needs for different departments including Accounting and Purchasing to extract data relating to inventory, retail transactions and cost management.
 Critically evaluate and analyze data using statistical and data science techniques to present/communicate data insights and findings to required audiences in an appropriate manner
 Support building and maintaining company-wide reports, dashboards and scorecards using BI tools such as Microsoft Power BI and SQL that enable teams to make evidence-based decision-making and show company performance
 What’s in it for you?
 A fun team environment that includes regular BBQs, pilates and yoga sessions
 Discounts on the newest wireless technology and plans
 Generous bonus plan
 Excellent extended health benefits
 RRSP company match program
 Apply now, if you are:
 Have strong analytical mindset with exceptional attention to detail and organizational skills
 An excellent communicator (both verbal and written) and a team player
 Able to translate complex data into business use
 A self-starter and have a proven track record of meeting deadlines
 Results-oriented with a strong business acumen
 A natural problem solver and customer focused
 
 Qualifications:
 Bachelor's degree in Business, Statistics or other Analytics related fields and/or a combination of education and experience
 1-2 years experience conducting analysis of large amount of data
 High proficiency in SQL, Microsoft Excel, and Microsoft Power BI. Python and R is an asset
 Statistical modeling or machine-learning techniques, including data visualizations and presentation is an asset
 GLENTEL Inc. (dba WIRELESSWAVE, Tbooth wireless, WIRELESS etc., WAVE SANS FIL, La Cabine T and SANS FIL etc.) encourages applications from all qualified candidates. In accordance with our accommodation policies and applicable provincial accessibility legislation, please advise us if you need accommodation in order to participate in the recruitment process. Any information you provide relating to accommodation will be addressed confidentially.",data scientist,Business Intelligence Analyst
6,459,Manager Advanced Analytics,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize her dream. A sports fan celebrate a special moment.
 
 Because we believe connections unite us, possibilities fuels us, and moments define us.
 The Manager Data Integration and Advanced Analytics is a key member of the broader Data Science and Products team and will be responsible for driving project and adhoc based actionable insights to drive key KPI’s. The manager will have a hands on role utilizing a variety of tools SAS, SQL, Python to explore and understand data and provide visualizations (Power BI/ Tableau) to tell key business partners a story with recommended actions to drive outcomes. The data attributes include (but not limited to) revenue, subscribers and product/tier changes which needs to be analysed at different contexts like customer-level analysis and program-level analysis. Hands on working with data to pull data, turn the data into a story that can share insights with business partners to drive key KPI’s is the key part of this role.
 
 The role will also be responsible to work with various business partners including Brand and Digital to build Segmentation and audiences using a variety of digital tools including Adobe, Google and AWS product suite.
 
 Key Accountabilities:
 
 Lead analytical requests for both project and ad-hoc data analytical requests and build comprehensive visualizations (PowerBI and Tableau)
 Use SQL, SAS. Python to analyze data from different sources and provide key actionable insights
 Tell right story to Executives based on data and performed analytics with recommended actions to improve outcomes
 Act as a key analytics SME to make recommendations for data acquisition and/or analysis requirements and fulfilment for complex process improvement projects
 Partner with various Rogers Business teams to align business logic to make available consumable qualitative data to drive key KPI’s
 Lead digital projects for segmentation using Adobe, Google, AWS suite of products
 
 Qualifications:
 
 7 years hands-on experience in Data Analysis, SAS, SQL programming, Python and Data visualization with the ability to think analytically
 Strong development and visualization skills (PowerBI, Tableau etc.) and power point presentations that enable leaders understanding of data to provide actionable insights that enables functional leaders in decision making
 Strong digital experience working with Adobe, google, AWS data suite of products
 Understanding of Data Science and feature engineering
 Self-motivated person with desire to go above and beyond tasks
 Being pro-active when it comes to exploring opportunities for growth and improve programs or outcomes
 Team player with ability to collaborate in cross functional teams and build trust based on the work she/he performs
 Schedule: Full time
 Shift: Day
 Length of Contract: Not Applicable (Regular Position)
 Work Location: 1 Mount Pleasant (083), Toronto, ON
 Travel Requirements: Up to 10%
 Posting Category/Function: Reporting and Analytics & Analyst
 Requisition ID: 177720
 Together, we'll make more possible, and these six shared values guide and define our work:
 Our people are at the heart of our success
 Our customers come first. They inspire everything we do
 We do what’s right, each and every day
 We believe in the power of new ideas
 We work as one team, with one vision
 We give back to our communities and protect our environment
 
 What makes us different makes us stronger. Rogers has a strong commitment to diversity and inclusion. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential. At Rogers, we value the insights and innovation that diverse teams bring to work. We work with our candidates with disabilities throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Rogers FAQ.
 
 Posting Notes: [[req_strategyPage]]",data scientist,Computer Systems Analysts
7,765,Scientifique de données - Data Scientist,"Ce que vous serez appelé(e) à faire
 Joignez-vous à une équipe d’actuaires et de scientifiques et d’ingénieurs de données passionnés, chargée de mettre les données au service de la prise de décisions à tous les niveaux de notre organisation. L’industrie de l’assurance est en pleine transformation, et vous serez aux commandes de cette révolution technologique orientée par les données.
 Vous participerez à des projets de grand impact allant de l’estimation de la valeur économique des clients à l’optimalisation de l’expérience client en passant par le recours à de nouvelles sources de données pour mettre au point des algorithmes de tarification d’avant-garde. En outre, vous aiderez l’équipe à tirer profit des algorithmes tirés de l’apprentissage machine pour automatiser la prédiction des sinistres et de leurs répercussions et pour trouver des moyens nouveaux et novateurs de mieux servir notre clientèle. L’équipe à laquelle vous appartiendrez explore les frontières de l’industrie de l’assurance, tâchant notamment d’apprendre des données sur la maison et la voiture connectées pour concevoir des produits nouveau genre pour notre clientèle.
 En tant que scientifique des données, vous ferez partie d’une petite équipe dynamique qui travaillera de concert avec divers intervenants d’affaires et qui aura une influence directe sur les produits et les solutions novatrices à venir. Vous proposerez des modèles d’apprentissage automatique et des modèles statistiques qui mèneront à des applications pratiques utiles à des millions de clients. L’équipe a déjà mis au point des algorithmes qui sont utilisés dans des systèmes de production et vous serez de ceux appelés à étendre la portée de ces algorithmes. Voici donc votre chance de faire partie de la révolution InsureTech!
 Ce dont vous avez besoin pour réussir
 Vous aurez besoin des compétences et de l’expérience suivantes pour bien accomplir vos tâches en tant que scientifique des données :
 Une formation en informatique, en génie informatique, en mathématiques, en statistiques, en physique ou dans un domaine connexe. Le baccalauréat est un prérequis; une maîtrise ou toute autre formation de niveau supérieur est un atout.
 Au moins trois ans d’expérience de l’élaboration de modèles et de manipulation de vastes blocs de données et, de préférence, de l’expérience en modélisation statistique non linéaire. Il peut s’agir d’une expérience professionnelle acquise sur le marché ou dans le milieu universitaire (expérience postdoctorale).
 Au moins trois ans d’expérience de la programmation en Python ou R, et excellente connaissance des pratiques exemplaires en ingénierie logicielle (réutilisabilité du code, modularité, logithèque de référence, etc.)
 Ce qui vous distingue de la masse
 Vous êtes une personne axée sur la croissance, polyvalente, et à même de résoudre des problèmes en vous aidant des principes fondamentaux.
 Vous avez travaillé à des projets variés qui démontrent votre capacité à tirer des conclusions utiles d’ensembles de données. Ces projets peuvent comprendre des actions menées au sein de la communauté de la science des données en général, comme la participation à une compétition Kaggle, ou tout projet personnel de données ouvertes.
 Vous avez l’esprit d’équipe et confiance en vos capacités, et vous êtes toujours prêt(e) à vous retrousser les manches et à faire ce qu’il faut pour faire avancer les projets. Il vous arrivera, à ce poste, de devoir porter plusieurs chapeaux en agissant comme gestionnaire de projet, développeur, modélisateur ou communicateur en chef pour les solutions proposées.
 Vous avez d’excellentes aptitudes interpersonnelles et vous parvenez à communiquer et exposer clairement à des non-initiés des algorithmes complexes. Vous comprenez qu’il ne suffit pas de disposer d’un algorithme aussi excellent soit-il, il faut créer un facteur de ralliement qui amène les parties concernées à adopter la solution proposée.
 Les plus beaux défis qui nous attendent sur le marché sont encore en train de se définir. Vous êtes un professionnel qui saura les aborder avec créativité et motivation et gérer les projets à venir avec une parfaite autonomie.
 Bilinguisme ( anglais-français )",data scientist,Clinical Data Managers
8,1073,Climate Change Scientist,"BGC is looking for a Climate Change Scientist to work closely with our Geoscientists and Engineers to translate past and current climate conditions and climate change projections into applied geoscience and engineering projects for our clients. The Climate Change Scientist will be integrated throughout BGC and involved in projects from the early stages of project development and feasibility, to operations, and to closure. There is an opportunity to shape our path forward through climate integration. You will gain valuable industry experience working at a multinational Engineering firm, while practicing our values of One Team, Excellence, Curiosity, Common Sense, and Clarity.
 
 Responsibilities
 Participate in the proposal preparation, work plan development, and project delivery of climate change and atmospheric science related services across the world with focus on North and South America. Primary emphasis will be on expansion of services for existing clients and markets related to the interpretation of current climate conditions, and climate change adaptation and resilience-type services. Existing clients work in mining, oil and gas, transportation and power sectors.
 Act as BGC’s internal specialist to source and interpret climate datasets such as climate modelling data bases, reanalysis tools, global circulation models and downscaling products.
 Contribute to our climate change services including:
 • site-specific climate change scenario generation based on model projections;
 • impact modelling of climate changes on streams, slopes, and engineered structures;
 • risk, hazard, and vulnerability assessments;
 • multidisciplinary climate changead aptation and resilience solutions;
 • communication of climate risks to the public;
 • climate change considerations for northern engineering; and
 • environmental impact assessments worldwide.
 
 Required Education, Experience & Competencies
 Master’s or PhD degree in Science, Engineering, or a related discipline.
 5+ years of relevant experience in climate change, natural resources management, vulnerability mapping, and/or community-based development programs.
 Ability to interpret climate data and projections and associated uncertainties.
 Knowledge of global climate models, databases and tools to extract relevant climate data from available sources and evaluate their validity and application to specific projects.
 Knowledge and experience on interdisciplinary climate change planning and a working knowledge of managing climate change impact studies.
 Experience with various downscaling methods and familiarity with web portals providing climate data and projections.
 Understanding of the implications of climate change on key sectors and ability to provide guidance on the integration of climate risk screening.
 Ability to establish priorities for enhancing climate adaptation and resilience on a project basis including detailed activities, implementation arrangements, and cost estimates.
 Experience in consulting and project management.
 Ability to work with multiple stakeholders across a wide range of disciplines and office locations.
 Exceptional writing, presentation, and communication skills in English
 Proficiency in Spanish is an asset.
 Programming skills and experience working with large datasets are an asset.
 Understanding of the current state and challenges of climate change policy in Canada, the United States and preferably in Chile, Argentina and Peru is an asset.
 Experience in the development of codes and guidelines related to climate change planning and adaptions in related sectors is an asset.
 BGC pays competitive salaries, provides a comprehensive benefit package, and maintains a casual but professional work environment. If you are qualified and interested in a career with BGC, please send your resume and cover letter in confidence to: careers@bgcengineering.ca",data scientist,Computer and Information Research Scientists
9,1445,Data Scientist - Price Point – Start-up company,"This company is an e-retailer with a unique method for collecting books. It combined this strategy with the development of simple software that only analyzes current market information. This has created efficiencies in the pricing and processing of books. We are looking to build off of this initial software by starting Price Point. Its goal is to create predictive pricing models using historical data and machine learning. Additionally, once the item is “live” there is a need to keep the listing competitive in a dynamic marketplace. We hope to apply this new technology to our current operations and to initially market it as a pricing engine for third-party sellers on Amazon.
 
 Title: Data Scientist
 Salary: 80-120k
 Location: Remote work (must be eligible to work in Canada)
 
 We are looking for individuals who have a background in quantitative analysis/data analytics and possess a range of skills including data structuring and machine learning.
 
 Research:
 Discover solutions to unique data science challenges while satisfying business needs
 Develop and Implement:
 Build the full solution:
 Loading and cleaning the data
 Preparing and training the model
 Deploying, monitoring and maintaining the solution",data scientist,Computer and Information Research Scientists
