id,title,identifier,score_all,name
1,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists
2,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts
3,Human Resources Data Scientist,15-1111.00,0.7372250633903602,Computer and Information Research Scientists
4,Lead - Human Resource Data Scientist,15-1111.00,0.7388327569091138,Computer and Information Research Scientists
5,Machine Learning Engineer,15-1111.00,0.8477077787185887,Computer and Information Research Scientists
6,Data Scientist,15-1111.00,0.8466228726243358,Computer and Information Research Scientists
7,Associate Data Scientist,15-1111.00,0.872069080966737,Computer and Information Research Scientists
8,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists
9,"Data Scientist, AI@Unity",15-1111.00,0.8764307613317291,Computer and Information Research Scientists
10,Data Scientist,15-1111.00,0.8477331058869199,Computer and Information Research Scientists
11,Data Scientist,15-1111.00,0.9164274447392922,Computer and Information Research Scientists
12,Data Scientist,15-1111.00,0.9133987255765283,Computer and Information Research Scientists
13,Jr. Data Science Developer,15-1111.00,0.8880679537790862,Computer and Information Research Scientists
14,Data Scientist,15-1111.00,0.8750288935158106,Computer and Information Research Scientists
15,Data scientist (summer intern),15-2041.00,0.8317739836068883,Statisticians
16,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
17,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
18,"Manager of Data Science, RACE21 - Vancouver",15-1111.00,0.9024205839415222,Computer and Information Research Scientists
19,Data Scientist,15-1111.00,0.9147192140316063,Computer and Information Research Scientists
20,"Lead Educator, Data Science",15-1111.00,0.8246349298089208,Computer and Information Research Scientists
21,Jr. Data Science Developer,15-1111.00,0.8880679537790862,Computer and Information Research Scientists
22,Data Scientist,15-1111.00,0.8806427489923435,Computer and Information Research Scientists
23,Data Scientist - FIFA,15-1111.00,0.8530353107170993,Computer and Information Research Scientists
24,Applied Scientist,15-1111.00,0.8446327936499589,Computer and Information Research Scientists
25,Senior Data Scientist AI@Unity,15-1111.00,0.8848689066268349,Computer and Information Research Scientists
26,Mine Planning Engineer,15-1199.02,0.8007356831936462,Computer Systems Engineers/Architects
27,Human Resources Administrator,15-1141.00,0.77895979311491,Database Administrators
28,"Associate Director, Engineering Admissions",19-4061.00,0.840550999585226,Social Science Research Assistants
29,Data Center Operations Engineer,15-1121.00,0.8476567114671293,Computer Systems Analysts
30,Software Engineer Level 3,15-1133.00,0.8600166214797822,"Software Developers, Systems Software"
31,DATA SCIENTIST,15-1111.00,0.8733206562774684,Computer and Information Research Scientists
32,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
33,Big Data Operations Specialist,15-1121.00,0.868236523502773,Computer Systems Analysts
34,Senior Data Scientist,15-1111.00,0.8443986897364005,Computer and Information Research Scientists
35,"Director, Data Science Initiatives",15-1111.00,0.8657747214752037,Computer and Information Research Scientists
46,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
47,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts
48,Lead - Human Resource Data Scientist,15-1111.00,0.7388327569091138,Computer and Information Research Scientists
49,Data Scientist,15-1111.00,0.8466228726243358,Computer and Information Research Scientists
50,Associate Data Scientist,15-1111.00,0.872069080966737,Computer and Information Research Scientists
51,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists
52,"Data Scientist, AI@Unity",15-1111.00,0.8764307613317291,Computer and Information Research Scientists
53,Data Scientist,15-1111.00,0.8477331058869199,Computer and Information Research Scientists
54,Data Scientist,15-1111.00,0.9164274447392922,Computer and Information Research Scientists
55,Data Scientist,15-1111.00,0.9133987255765283,Computer and Information Research Scientists
56,Jr. Data Science Developer,15-1111.00,0.8880679537790862,Computer and Information Research Scientists
57,Data Scientist,15-1111.00,0.9147192140316063,Computer and Information Research Scientists
58,Data Scientist,15-1111.00,0.8750288935158106,Computer and Information Research Scientists
59,Human Resources Data Scientist,15-1111.00,0.7372250633903602,Computer and Information Research Scientists
60,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists
61,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists
62,"Manager of Data Science, RACE21 - Vancouver",15-1111.00,0.9024205839415222,Computer and Information Research Scientists
63,Data scientist (summer intern),15-2041.00,0.8317739836068883,Statisticians
64,"Lead Educator, Data Science",15-1111.00,0.8246349298089208,Computer and Information Research Scientists
65,Jr. Data Science Developer,15-1111.00,0.8880679537790862,Computer and Information Research Scientists
66,Data Scientist,15-1111.00,0.8806427489923435,Computer and Information Research Scientists
67,Data Scientist - FIFA,15-1111.00,0.8530353107170993,Computer and Information Research Scientists
68,Applied Scientist,15-1111.00,0.8446327936499589,Computer and Information Research Scientists
69,Senior Data Scientist AI@Unity,15-1111.00,0.8848689066268349,Computer and Information Research Scientists
70,"Data Scientist, Analytics and Machine Learning",15-1111.00,0.8846546344213159,Computer and Information Research Scientists
71,Data Architect (Advanced Analytics),15-1199.06,0.8763112511133943,Database Architects
72,Human Resources Data Scientist,15-1111.00,0.7372250633903602,Computer and Information Research Scientists
73,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts
74,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
75,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts
76,Machine Learning Engineer,15-1111.00,0.8477077787185887,Computer and Information Research Scientists
77,Machine learning / image processing - Apr to Sep,15-1111.00,0.6425551600689549,Computer and Information Research Scientists
78,Senior Data Scientist,15-1111.00,0.8977710408762029,Computer and Information Research Scientists
79,Data Scientist - Advertising & Attribution,15-1111.00,0.8120218068158842,Computer and Information Research Scientists
80,Data Scientist - RACE21,15-1199.04,0.8430610483520131,Geospatial Information Scientists and Technologists
81,Machine Learning Geoscientist,15-1111.00,0.854888767449428,Computer and Information Research Scientists
82,Senior Data Analyst,15-1199.08,0.8770987150425584,Business Intelligence Analysts
83,"Sr Data Analyst, UFC Mobile",15-1199.04,0.8296157117493118,Geospatial Information Scientists and Technologists
84,"Lead Data Scientist, RACE21",15-1111.00,0.8860972903804512,Computer and Information Research Scientists
85,Senior Data Analyst,13-2099.01,0.855338990672399,Financial Quantitative Analysts
86,Artificial Intelligence/Machine Learning,15-1111.00,0.812791527206325,Computer and Information Research Scientists
87,Lead - Human Resource Data Scientist,15-1111.00,0.7388327569091138,Computer and Information Research Scientists
88,Human Resources Data Scientist,15-1111.00,0.7372250633903602,Computer and Information Research Scientists
89,Data Scientist - Price Point – Start-up company,15-1111.00,0.8486041993463883,Computer and Information Research Scientists
90,"Manager of Data Science, RACE21 - Vancouver",15-1111.00,0.9024205839415222,Computer and Information Research Scientists
91,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists
92,"Manager of Data Science, RACE21 - Vancouver",15-1111.00,0.9024205839415222,Computer and Information Research Scientists
93,Human Resources Data Scientist,15-1111.00,0.7372250633903602,Computer and Information Research Scientists
94,Data Scientist - Planning Team,15-1111.00,0.875363752286493,Computer and Information Research Scientists
95,Machine Learning Engineer / Data Analyst,15-1111.00,0.8626101121284915,Computer and Information Research Scientists
96,NLP Engineer,15-1111.00,0.7660929290305266,Computer and Information Research Scientists
97,Senior Enterprise Data Analyst,15-1199.08,0.8625724926371474,Business Intelligence Analysts
98,Programmer Analyst II (Learning Analytics),15-1121.00,0.9039450970290565,Computer Systems Analysts
99,Senior Game Data Analyst,15-1199.07,0.8301730855475874,Data Warehousing Specialists
100,Senior Data Analyst,15-1121.00,0.8753139202146079,Computer Systems Analysts
101,Senior Renewable Energy Data Analyst,15-1121.00,0.8778331955543559,Computer Systems Analysts
102,"Development Expert, SAP Analytics Cloud (Conversational Anal...",15-1121.00,0.7674948543223207,Computer Systems Analysts
103,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts
104,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists
