id,title,identifier,score_all,name,description,onet_competency
1,Data Scientist,15-1111.00,0.8838952381171774,Computer and Information Research Scientists,Not a bad job but can get boring easily. Management is nice and laid back culture. Focus on sales and policy to much. Not to many growth opportunities.,"['Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
2,Business Intelligence Analyst,15-1199.08,0.8663985408978038,Business Intelligence Analysts,co-workers are friendly but pay is not good at all. if you like easy place to work but not good pay it s not a bad place to work. management is not so professional but OK to work with,"['Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
3,Human Resources Data Scientist,15-1111.00,0.7372250633903602,Computer and Information Research Scientists,They give you the illusion of how great of a job it is. It is a controlling cult where you need to believe you love your job when really everyone is stressed beyond belief as they cannot reach their impossible sales targets. It is a great way to get cardiac arrest. The salary is minimal and you can dedicate 20 years of your life to the company but you will always just be a number. When your lemon runs out of juices they will toss you in the trash and find another lemon. Its all about profitability and your health has nothing to do with it.,"['Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
4,Lead - Human Resource Data Scientist,15-1111.00,0.7388327569091138,Computer and Information Research Scientists,"Basically, in BMO agile team, they hire 5+ person(business owners + project manager + scrum master + story writer) to monitor 1-2 developers.

Lots of useless meeting.

Every day you have to answer below questions over 5 times to different person:
what the task are you working now?
when can you finish the tasks?","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Relationships | Occupations that satisfy this work value allow employees to provide service to others and work with co-workers in a friendly non-competitive environment. Corresponding needs are Co-workers, Moral Values and Social Service.']"
5,Machine Learning Engineer,15-1111.00,0.8477077787185887,Computer and Information Research Scientists,Work/life balance and customer centric. Training is top notch. U have enough time to learn and gradually progress into the role.Great team work and supportive colleagues,"['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.']"
6,Data Scientist,15-1111.00,0.8466228726243358,Computer and Information Research Scientists,"A typical work day includes problem solving customer needs.
I have learned to bring out the best in me, and exercise empathy with clients.
Management is great as they guide you toward your next goal in life.
Our Culture is Diverse and I am encouraged to bring ideas to the table.
Hardest part of my job - Nothing is too hard if you believe in making a difference - Being Human - Exercise Patience - Putting Clients first..
The most enjoyable part of my job is when a see a smile on my clients face.. I feel accomplished.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Independence | Occupations that satisfy this work value allow employees to work on their own and make decisions. Corresponding needs are Creativity, Responsibility and Autonomy.']"
7,Associate Data Scientist,15-1111.00,0.8720690809667371,Computer and Information Research Scientists,I am currently a student working part time at BMO. BMO has been very understanding of my demanding schedule and providing me with hours that work for me. there was definite learning curve entering into working in the financial world but the training they provide is comprehensive.,"['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
8,Data Scientist I,15-1111.00,0.8846822801821487,Computer and Information Research Scientists,"everyone I so supportive and will work with you to help you understand when you need some extra help, everyone does their best to help you with what you need","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.']"
9,"Data Scientist, AI@Unity",15-1111.00,0.8764307613317291,Computer and Information Research Scientists,"The best part of working at a company like BMO was the opportunities it provided, the friendship and relationship you could build and a culture of continuous learning and improving. It is a face-paced and customer focused environment, where innovation and agile mindset is welcomed.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.']"
10,Data Scientist,15-1111.00,0.8477331058869199,Computer and Information Research Scientists,"BMO's culture is nothing like i've seen before. Leaders are engaged and present. They provide you opportunities to learn and grow your career. It's a collaborative team environment and everyone truly cares for one another. They value work-life balance, are fair and flexible.","['Work Values | Working Conditions | Occupations that satisfy this work value offer job security and good working conditions. Corresponding needs are Activity, Compensation, Independence, Security, Variety and Working Conditions.', 'Work Values | Achievement | Occupations that satisfy this work value are results oriented and allow employees to use their strongest abilities, giving them a feeling of accomplishment. Corresponding needs are Ability Utilization and Achievement.', 'Work Values | Support | Occupations that satisfy this work value offer supportive management that stands behind employees. Corresponding needs are Company Policies, Supervision: Human Relations and Supervision: Technical.', 'Work Values | Recognition | Occupations that satisfy this work value offer advancement, potential for leadership, and are often considered prestigious. Corresponding needs are Advancement, Authority, Recognition and Social Status.']"
